V1,V2
METTL24,0.464712282
RAB40A,0.464670618
EPM2A,0.464665817
FAM135B,0.464581103
RNASE1,0.464331856
TMEM249,0.464075271
HSD17B13,0.463531534
EPGN,0.46322167
AP1S2,0.462952125
GFRA2,0.462944863
TMEM132E,0.462915542
ID4,0.462511341
PIWIL4,0.462432201
EGR4,0.461866261
PCDH7,0.461613654
RHPN1,0.461334053
GRM4,0.461017127
JAZF1,0.460969462
CTU1,0.460747766
PCBP3,0.460622288
MPP2,0.460519042
UGT2B4,0.460500311
HOXD3,0.460171979
ZDHHC11,0.460024828
GPR149,0.459999201
METTL7A,0.459810201
EYA1,0.459700806
IL1RAPL1,0.45967277
CDC42EP4,0.459548484
ZNF804A,0.459506185
GLRA4,0.458915979
CRABP2,0.458516547
TMED6,0.458095632
NETO2,0.457726947
SLC44A5,0.457599973
ADAMTS6,0.457518449
FNDC10,0.457343765
ATP2B4,0.457041337
C20orf194,0.456641517
C4orf48,0.456218176
LRRN1,0.456148623
DYDC2,0.456069799
VGLL3,0.455501517
KRT16,0.455369384
SLC16A8,0.455005579
NEGR1,0.454837487
OR51A7,0.4545859
CAMK2G,0.454322091
