V1,V2
BTBD17,1.163111307
CENPA,1.162415272
INSYN2A,1.161708054
GFI1B,1.161622056
CXCL10,1.161343116
CSTL1,1.160996187
FABP4,1.160576622
SLC1A1,1.159944895
ASIC5,1.158320026
SLC7A11,1.158150501
HSPB6,1.157735329
VXN,1.157496273
OTOR,1.155296826
CAVIN2,1.155005922
ASB12,1.15287763
GPR37L1,1.152040357
RBP4,1.150763019
CLEC3B,1.150175125
KIF4A,1.150098429
HHIPL2,1.147738802
IL36RN,1.147554827
PCOLCE2,1.147253963
KCNJ6,1.146905072
CA4,1.146891499
KIAA0408,1.146657611
UGT1A6,1.146016925
SLITRK6,1.145482523
PLK1,1.144782739
NEK2,1.144739848
KNCN,1.144305098
OCSTAMP,1.144092663
HOXC12,1.143740216
MELK,1.14334765
TMEM145,1.143297883
HBA2,1.142929915
SPRR2G,1.142896174
FGF12,1.142885024
RDH5,1.142617174
KCNH7,1.140105353
RHBDL1,1.13957114
TKTL1,1.139450824
KCNQ2,1.138710196
FOXM1,1.138430488
CDH2,1.138128637
PRLHR,1.136835993
MUC19,1.136578846
PSMD3,1.136148371
AOC3,1.135558898
FRG2B,1.13525052
SYT14,1.135168692
ROPN1L,1.134466196
SKA1,1.13420209
KRT4,1.133859682
SORBS1,1.132989009
CST9L,1.131260109
KIF2C,1.13102097
GABRR3,1.130654674
MYBL2,1.130484714
GALR2,1.13024527
RBFOX1,1.129331865
CHRNB3,1.128766076
CRYBG2,1.127393803
IFNL1,1.126788878
SLC5A12,1.12633934
KRT25,1.12533183
MRAP,1.123510763
GPR158,1.123234647
LGALS9B,1.123230575
ADAMTS5,1.121549491
AURKA,1.121089242
TUBB4A,1.119222369
ACSM5,1.118679968
SPRY2,1.118336906
PNCK,1.117942921
IDO1,1.117935837
LY6D,1.117529392
ROBO2,1.117292304
CLEC5A,1.116508855
AARD,1.116366784
SNTG1,1.116331563
KLHL31,1.116259792
KRT38,1.116183553
CFAP47,1.115267278
CHRDL1,1.115018718
UPK2,1.114343958
UBE2T,1.113570469
AWAT1,1.113549565
PIRT,1.113038732
CLEC6A,1.112999807
SLC5A5,1.112083662
PRB4,1.111643286
ELAVL2,1.111187789
SLC5A7,1.110873558
UGT1A7,1.110735662
P2RY4,1.110300684
LGALS9C,1.109146534
BMPR1B,1.1085019
BGLAP,1.107723316
ODAM,1.106895014
NTS,1.105340123
NUF2,1.10532194
GDAP1L1,1.104945626
KCNH1,1.104923489
CDC20,1.104771112
HRC,1.104622211
TROAP,1.104287068
TGFBR3L,1.104072802
GPM6A,1.10360563
CELSR3,1.103375371
AC011473.4,1.101957663
H4C14,1.100323976
FDCSP,1.099413262
ABCD2,1.099129751
