V1,V2
SERPINB13,1.301965409
PITX1,1.301698857
SLC6A4,1.300482125
SLC17A4,1.299261804
AMY1B,1.29901317
CLVS2,1.299011153
OR51B5,1.29873644
GJB2,1.297911848
MYH6,1.296955326
NEUROD6,1.296480811
AKR1C1,1.29597493
UNC5D,1.295872226
NPAS3,1.292644267
CALN1,1.290823586
HEPHL1,1.290693857
C3orf85,1.286954809
NEFM,1.286886566
UCN3,1.286797613
C8A,1.286522065
NDST4,1.28575208
CTXN3,1.285409423
SPDYC,1.281767037
SEMG1,1.281244763
HNF1A,1.280587087
H3C4,1.280295145
LYPD3,1.279214562
PDIA2,1.277778686
SEPTIN12,1.277302567
NDP,1.277085551
EN1,1.275177942
IGF2BP3,1.274397181
UNCX,1.273084685
GAGE12D,1.272833025
B4GALNT4,1.271125424
GDA,1.270215188
CHST4,1.269544066
POTED,1.269268787
UBE2C,1.268759199
FER1L6,1.268171884
CCDC154,1.267682826
NPIPA7,1.266583159
REG3A,1.264781338
ZIC4,1.264730934
EN2,1.263138947
TUBB3,1.261840491
DGKB,1.261642453
MRGPRX3,1.260304269
ANKRD30A,1.259472352
LGSN,1.259124061
DCAF12L1,1.258772175
ISL1,1.258048529
MEGF10,1.257595549
BRDT,1.257041063
CARD14,1.256666677
TBR1,1.253506048
SLC6A5,1.253198467
GALNT14,1.253087383
KLK14,1.252131769
SULT1C3,1.248749573
PAGE3,1.24868761
NXPH1,1.248448713
CPA5,1.247977707
RGS7,1.247606864
MUC7,1.247446364
EVX1,1.246895204
WFDC3,1.246877464
OR10G8,1.243271239
HEPACAM2,1.242945619
B3GALT5,1.241992348
NKX6-3,1.241992111
TMEM63C,1.24184129
PHYHIPL,1.240272212
NELL1,1.240219764
SYNGR3,1.238027594
OR2J3,1.237499553
RHOV,1.237026351
OTOR,1.235443494
ARSH,1.23407695
NAT8L,1.233747467
PSCA,1.233100002
GBX2,1.232190785
KLK8,1.232183649
IFITM5,1.228778718
FZD9,1.228675985
SIX2,1.227594911
PGLYRP4,1.225746959
ASIC2,1.221891058
OR2T3,1.221651447
MEX3A,1.2203945
IGDCC3,1.220265467
ST18,1.219893781
A2ML1,1.217127923
IAPP,1.21586491
HAS1,1.215406593
KRTAP2-4,1.214263609
RETNLB,1.211125488
